order_id,order_date,customer_id,store_location,product_category,quantity,unit_price,discount,revenue,sales_channel,payment_method,customer_type
1,2024-11-23,3771,Los Angeles,Clothing,1.0,193.52,0.2,,Mobile App,Apple Pay,New
2,2024-10-29,3298,Los Angeles,Sports,4.0,99.88,0.2,319.62,Online,Apple Pay,Returning
3,2024-04-22,2393,New York,Clothing,4.0,302.46,0.05,1149.35,In-Store,Debit Card,New
4,2024-06-21,1177,Chicago,Sports,1.0,86.44,0.1,77.8,Mobile App,PayPal,New
5,2024-07-12,3885,Phoenix,Home,1.0,235.03,0.2,188.02,Online,Credit Card,New
6,2024-05-28,4416,Houston,Home,1.0,304.55,0.1,274.1,In-Store,Debit Card,Returning
7,2024-06-30,3600,miami,Grocery,2.0,20.09,0.05,38.17,Online,Apple Pay,New
8,2024-03-24,3804,Miami,Grocery,4.0,363.78,0.05,1382.36,In-Store,Credit Card,New
9,2024-01-17,3684,Phoenix,Grocery,3.0,99.09,0.2,237.82,In-Store,PayPal,Returning
10,2024-03-14,2754,Phoenix,Home,3.0,312.57,0.05,890.82,Mobile App,PayPal,Returning
11,2024-04-22,1655,New York,Electronics,2.0,267.13,0.15,454.12,Mobile App,PayPal,New
12,2024-07-16,1047,Chicago,Sports,4.0,21.3,0.1,76.68,Mobile App,Credit Card,Returning
13,2024-11-24,4587,Houston,Electronics,3.0,309.81,0.05,882.96,Mobile App,Cash,New
14,2024-09-16,1626,Miami,Sports,1.0,32.87,0.15,27.94,In-Store,Debit Card,New
15,2024-11-02,1986,Chicago,Home,3.0,189.52,0.1,511.7,Mobile App,Credit Card,New
16,2024-09-05,4878,Los Angeles,Clothing,1.0,197.41,0.15,167.8,Mobile App,Debit Card,Returning
17,2024-09-27,3920,Phoenix,Grocery,5.0,300.28,0.1,1351.26,In-Store,PayPal,Returning
18,2024-08-12,3268,new york,Home,5.0,431.37,0.2,1725.48,Online,Apple Pay,New
19,2024-01-04,1290,New York,Electronics,1.0,230.74,0.05,219.2,Mobile App,Debit Card,Returning
20,2024-12-08,4213,Phoenix,Sports,4.0,474.95,0.15,1614.83,In-Store,PayPal,New
21,2024-02-18,1221,Houston,Beauty,1.0,286.01,0.05,271.71,Mobile App,Credit Card,New
22,2024-07-25,1574,Los Angeles,Clothing,3.0,159.26,0.2,382.22,In-Store,Debit Card,Returning
23,2024-08-24,3214,phoenix,Electronics,2.0,123.14,0.15,209.34,Online,Credit Card,New
24,2024-03-26,1008,Houston,Electronics,4.0,225.67,0.15,767.28,In-Store,Cash,Returning
25,2024-05-26,1634,Phoenix,Grocery,4.0,252.64,0.1,909.5,Online,Cash,New
26,2024-01-30,2952,chicago,Electronics,5.0,455.57,0.15,1936.17,Mobile App,Apple Pay,New
27,2024-01-30,1963,Phoenix,Electronics,5.0,99.3,0.15,422.02,In-Store,Credit Card,New
28,2024-10-23,2295,Miami,Sports,5.0,162.74,0.05,773.02,In-Store,Debit Card,Returning
29,2024-05-02,4079,Chicago,Beauty,3.0,288.17,0.2,691.61,Online,Credit Card,Returning
30,2024-11-14,4822,Los Angeles,Sports,5.0,485.1,0.05,2304.22,In-Store,Credit Card,New
31,2024-07-08,4305,Miami,Home,3.0,230.38,0.05,656.58,Mobile App,Apple Pay,New
32,2024-12-07,1438,Los Angeles,Home,5.0,448.47,0.15,1906.0,Mobile App,Apple Pay,New
33,2024-05-19,2081,Los Angeles,Grocery,3.0,32.16,0.2,77.18,Mobile App,PayPal,Returning
34,2024-01-27,1535,New York,Electronics,1.0,200.45,0.05,190.43,Mobile App,Cash,New
35,2024-08-14,3830,New York,Electronics,5.0,274.45,0.05,1303.64,Online,Apple Pay,New
36,2024-07-08,4821,New York,Home,5.0,482.98,0.15,2052.66,Online,Cash,New
37,2024-12-15,4069,Phoenix,Beauty,2.0,275.92,0.0,551.84,Online,Debit Card,New
38,2024-03-31,4539,Chicago,Beauty,4.0,155.17,0.2,,Mobile App,Debit Card,Returning
39,2024-03-22,4761,Houston,Clothing,1.0,46.53,0.0,46.53,In-Store,Cash,Returning
40,2024-04-26,4960,Chicago,Home,2.0,388.4,0.15,,In-Store,Cash,Returning
41,2024-12-13,2087,Chicago,Clothing,5.0,153.81,0.1,692.14,Online,Credit Card,Returning
42,2024-06-25,1778,New York,Beauty,3.0,107.43,0.1,290.06,In-Store,Credit Card,Returning
43,2024-01-01,1807,Miami,Grocery,5.0,397.19,0.1,1787.36,In-Store,PayPal,New
44,2024-12-06,3077,New York,Grocery,3.0,46.28,0.05,131.9,In-Store,PayPal,Returning
45,2024-07-25,4697,Miami,Beauty,3.0,66.78,0.0,200.34,Online,Apple Pay,Returning
46,2024-07-26,3484,Los Angeles,Beauty,5.0,315.42,0.05,1498.24,Mobile App,Cash,Returning
47,2024-08-14,2162,Miami,Clothing,4.0,56.75,0.2,181.6,Mobile App,Apple Pay,Returning
48,2024-02-17,2002,los angeles,Clothing,2.0,367.51,0.1,661.52,In-Store,Apple Pay,New
49,2024-08-21,2636,Miami,Grocery,4.0,285.01,0.1,1026.04,Online,Debit Card,New
50,2024-02-24,3283,Miami,Sports,4.0,68.6,0.1,246.96,Online,Credit Card,Returning
51,2024-03-09,4651,Phoenix,Home,4.0,382.78,0.05,1454.56,In-Store,Apple Pay,Returning
52,2024-10-07,2012,Houston,Beauty,4.0,125.63,0.1,452.27,Mobile App,Cash,Returning
53,2024-11-16,2309,Chicago,Clothing,2.0,266.14,0.05,505.67,Mobile App,Credit Card,New
54,2024-03-18,2355,Los Angeles,Electronics,2.0,22.46,0.2,35.94,Mobile App,PayPal,Returning
55,2024-02-01,4607,phoenix,Grocery,2.0,108.84,0.0,217.68,Mobile App,PayPal,Returning
56,2024-01-04,3236,Houston,Sports,3.0,164.03,0.15,418.28,Mobile App,Debit Card,Returning
57,2024-04-22,2656,Chicago,Grocery,3.0,454.71,0.2,1091.3,Mobile App,Debit Card,Returning
58,2024-03-06,1343,Phoenix,Sports,5.0,274.52,0.2,1098.08,Mobile App,PayPal,New
59,2024-08-24,4117,Los Angeles,Beauty,2.0,122.11,0.1,219.8,In-Store,Cash,Returning
60,2024-05-09,1281,New York,Home,1.0,350.44,0.15,297.87,Mobile App,Credit Card,New
61,2024-05-06,1468,Los Angeles,Clothing,2.0,465.55,0.2,744.88,Mobile App,Debit Card,Returning
62,2024-12-24,4185,Phoenix,Grocery,3.0,154.86,0.2,371.66,Online,Cash,New
63,2024-10-23,1812,Houston,Beauty,1.0,437.02,0.15,371.47,Online,Apple Pay,New
64,2024-02-22,2422,New York,Sports,3.0,117.04,0.15,298.45,Mobile App,PayPal,Returning
65,2024-02-05,4935,Houston,Beauty,,447.35,0.1,2013.08,In-Store,PayPal,New
66,2024-08-10,3204,Chicago,Sports,2.0,168.93,0.15,287.18,In-Store,PayPal,Returning
67,2024-10-30,1998,New York,Home,3.0,184.59,0.0,553.77,In-Store,Apple Pay,Returning
68,2024-06-21,2058,Houston,Clothing,1.0,143.34,0.1,129.01,In-Store,Cash,Returning
